USPS	GEOID	ANSICODE	NAME	LSAD	FUNCSTAT	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                 
TX	4863524	02412581	Round Top town	43	A	2470985	0	0.954	0.	30.06397	-96.695882                                                                                                                          
TX	4863572	02411007	Rowlett city	25	A	54099362	189991	20.888	0.073	32.915922	-96.548673                                                                                                                 
TX	4863584	02411008	Roxton city	25	A	2235352	21608	0.863	0.008	33.545568	-95.724933                                                                                                                     
TX	4863668	02411012	Royse City city	25	A	43999485	336959	16.988	0.13	32.976587	-96.322065                                                                                                               
TX	4863752	02412582	Rule town	43	A	1804449	0	0.697	0.	33.181941	-99.893272                                                                                                                              
TX	4863782	02411015	Runaway Bay city	25	A	6522817	11052532	2.518	4.267	33.175379	-97.874794                                                                                                             
TX	4863788	02412583	Runge town	43	A	3046487	10983	1.176	0.004	28.886277	-97.713067                                                                                                                      
TX	4863848	02411017	Rusk city	25	A	18711712	69649	7.225	0.027	31.797759	-95.148758                                                                                                                      
TX	4864004	02411018	Sabinal city	25	A	3075553	0	1.187	0.	29.321325	-99.469535                                                                                                                           
TX	4864064	02411019	Sachse city	25	A	25298135	305207	9.768	0.118	32.968973	-96.580671                                                                                                                   
TX	4864088	02411752	Sadler city	25	A	2021528	0	0.781	0.	33.682066	-96.848711                                                                                                                            
TX	4864112	02411754	Saginaw city	25	A	19437775	7006	7.505	0.003	32.865564	-97.365207                                                                                                                    
TX	4864172	02412593	St. Hedwig town	43	A	76761226	685216	29.638	0.265	29.420216	-98.206971                                                                                                              
TX	4864184	02411760	St. Jo city	25	A	2787430	0	1.076	0.	33.695023	-97.523071                                                                                                                            
TX	4864220	02412597	St. Paul town	43	A	3951421	13308	1.526	0.005	33.047486	-96.553391                                                                                                                   
TX	4864244	02409231	St. Paul CDP	57	S	8598065	0	3.32	0.	28.090962	-97.563184                                                                                                                            
TX	4864268	02413586	Salado village	47	A	5445928	115313	2.103	0.045	30.949205	-97.525262                                                                                                                 
TX	4864316	02409238	Salineño CDP	57	S	176157	0	0.068	0.	26.517553	-99.112058                                                                                                                            
TX	4864322	02584729	Salineño North CDP	57	S	508034	0	0.196	0.	26.527223	-99.094956                                                                                                                      
TX	4864442	02584730	Sammy Martinez CDP	57	S	812232	0	0.314	0.	26.432861	-98.75129                                                                                                                       
TX	4864448	02409245	Samnorwood CDP	57	S	4234173	0	1.635	0.	35.050114	-100.281401                                                                                                                        
TX	4864460	02586983	Sam Rayburn CDP	57	S	21934314	3787521	8.469	1.462	31.077263	-94.025528                                                                                                              
TX	4864472	02411773	San Angelo city	25	A	155283628	5912604	59.955	2.283	31.441078	-100.450499                                                                                                           
TX	4865000	02411774	San Antonio city	25	A	1193924544	14793055	460.977	5.712	29.472403	-98.525142                                                                                                        
TX	4865024	02411775	San Augustine city	25	A	12217475	226377	4.717	0.087	31.529899	-94.110894                                                                                                            
TX	4865036	02411776	San Benito city	25	A	40905031	885454	15.794	0.342	26.129398	-97.64405                                                                                                               
TX	4865048	02409251	San Carlos CDP	57	S	4683098	0	1.808	0.	26.295668	-98.063057                                                                                                                         
TX	4865049	02584731	San Carlos I CDP	57	S	337771	2962	0.13	0.001	27.489489	-99.372926                                                                                                                   
TX	4865050	02584732	San Carlos II CDP	57	S	183700	2415	0.071	0.001	27.489596	-99.368589                                                                                                                 
TX	4865066	02413255	Sanctuary town	43	A	2218458	0	0.857	0.	32.913158	-97.58767                                                                                                                          
TX	4865084	02409269	Sanderson CDP	57	S	10856320	0	4.192	0.	30.150794	-102.407916                                                                                                                        
TX	4865168	02409270	Sandia CDP	57	S	2501777	1089	0.966	0.	28.02124	-97.867639                                                                                                                           
TX	4865180	02411783	San Diego city	25	A	4923546	0	1.901	0.	27.760891	-98.238906                                                                                                                         
TX	4865210	02584733	Sandoval CDP	57	S	111443	0	0.043	0.	26.418189	-99.07943                                                                                                                             
TX	4865240	02586984	Sand Springs CDP	57	S	6656165	451	2.57	0.	32.280355	-101.347191                                                                                                                     
TX	4865342	02409271	Sandy Hollow-Escondidas CDP	57	S	20360845	490288	7.861	0.189	27.929973	-97.79245                                                                                                    
TX	4865344	02771704	Sandy Oaks city	25	A	6177384	772	2.385	0.	29.181719	-98.409159                                                                                                                      
TX	4865345	02711396	Sandy Point city	25	A	4503585	0	1.739	0.	29.401256	-95.481732                                                                                                                       
TX	4865360	02770964	San Elizario city	25	A	17826061	7004	6.883	0.003	31.578436	-106.262019                                                                                                              
TX	4865372	02413252	San Felipe town	43	A	21652885	769144	8.36	0.297	29.794557	-96.105867                                                                                                                
TX	4865378	02584734	San Fernando CDP	57	S	62748	0	0.024	0.	26.403309	-98.835072                                                                                                                         
TX	4865384	02413257	Sanford town	43	A	346091	0	0.134	0.	35.702624	-101.531771                                                                                                                           
TX	4865408	02411812	Sanger city	25	A	30423475	122087	11.747	0.047	33.382602	-97.164696                                                                                                                  
TX	4865432	02409257	San Isidro CDP	57	S	8036917	0	3.103	0.	26.713619	-98.447902                                                                                                                         
TX	4865516	02411791	San Juan city	25	A	30096920	0	11.62	0.	26.190359	-98.152019                                                                                                                         
TX	4865532	02584735	San Juan CDP	57	S	96513	0	0.037	0.	26.414966	-98.943691                                                                                                                             
TX	4865552	02413588	San Leanna village	47	A	1150675	3309	0.444	0.001	30.143407	-97.819639                                                                                                               
TX	4865564	02409259	San Leon CDP	57	S	12297282	830175	4.748	0.321	29.489063	-94.937451                                                                                                                  
TX	4865600	02411798	San Marcos city	25	A	87416622	343883	33.752	0.133	29.872899	-97.937735                                                                                                              
TX	4865612	02411802	San Patricio city	25	A	9965504	102257	3.848	0.039	27.984348	-97.770176                                                                                                              
TX	4865620	02409266	San Pedro CDP	57	S	3066581	0	1.184	0.	25.981409	-97.588168                                                                                                                          
TX	4865636	02411803	San Perlita city	25	A	1345394	0	0.519	0.	26.500994	-97.639648                                                                                                                       
TX	4865648	02413254	San Saba city	25	A	5913570	0	2.283	0.	31.196417	-98.724323                                                                                                                          
TX	4865660	02411813	Sansom Park city	25	A	3210392	0	1.24	0.	32.802738	-97.402064                                                                                                                        
TX	4865672	02413258	Santa Anna town	43	A	5164626	0	1.994	0.	31.736914	-99.325425                                                                                                                        
TX	4865678	02584736	Santa Anna CDP	57	S	1817619	0	0.702	0.	26.669238	-98.557884                                                                                                                         
TX	4865690	02411817	Santa Clara city	25	A	5579261	0	2.154	0.	29.574431	-98.171083                                                                                                                       
TX	4865708	02409278	Santa Cruz CDP	57	S	71430	0	0.028	0.	26.353689	-98.767615                                                                                                                           
TX	4865726	02411822	Santa Fe city	25	A	45059276	491923	17.397	0.19	29.3876	-95.101511                                                                                                                   
TX	4865744	02409279	Santa Maria CDP	57	S	633968	0	0.245	0.	26.076752	-97.84664                                                                                                                          
TX	4865756	02409280	Santa Monica CDP	57	S	2571411	1367	0.993	0.001	26.369439	-97.588931                                                                                                                 
TX	4865768	02413259	Santa Rosa town	43	A	1998969	0	0.772	0.	26.256054	-97.825255                                                                                                                        
TX	4865774	02584737	Santa Rosa CDP	57	S	198602	0	0.077	0.	26.348732	-98.769912                                                                                                                          
TX	4865777	02584738	Santel CDP	57	S	73701	0	0.028	0.	26.37556	-98.883283                                                                                                                                
TX	4865792	02409267	San Ygnacio CDP	57	S	3942841	329718	1.522	0.127	27.053177	-99.423748                                                                                                                
TX	4865876	02586986	Sarita CDP	57	S	3079478	86217	1.189	0.033	27.227787	-97.799268                                                                                                                      
TX	4866000	02584739	Savannah CDP	57	S	2417139	0	0.933	0.	33.225934	-96.907887                                                                                                                           
TX	4866008	02411835	Savoy city	25	A	2061502	0	0.796	0.	33.59984	-96.366028                                                                                                                              
TX	4866089	02409290	Scenic Oaks CDP	57	S	20330081	49150	7.849	0.019	29.703887	-98.668028                                                                                                                
TX	4866128	02411838	Schertz city	25	A	82617678	508281	31.899	0.196	29.563383	-98.251244                                                                                                                 
TX	4866188	02411839	Schulenburg city	25	A	6546052	0	2.527	0.	29.68179	-96.907305                                                                                                                        
TX	4866248	02409292	Scissors CDP	57	S	4129131	0	1.594	0.	26.133333	-98.047489                                                                                                                           
TX	4866284	02411842	Scotland city	25	A	20443390	338630	7.893	0.131	33.647344	-98.468847                                                                                                                 
TX	4866332	02411846	Scottsville city	25	A	3411311	0	1.317	0.	32.540425	-94.239333                                                                                                                       
TX	4866368	02413268	Scurry town	43	A	4791435	0	1.85	0.	32.512564	-96.38508                                                                                                                              
TX	4866392	02411847	Seabrook city	25	A	13793944	41296451	5.326	15.945	29.592971	-94.993424                                                                                                              
TX	4866416	02411848	Seadrift city	25	A	3157445	614559	1.219	0.237	28.413125	-96.715602                                                                                                                  
TX	4866428	02411849	Seagoville city	25	A	48811123	685568	18.846	0.265	32.653383	-96.545058                                                                                                              
TX	4866440	02411850	Seagraves city	25	A	3763352	0	1.453	0.	32.94197	-102.565716                                                                                                                         
TX	4866464	02411852	Sealy city	25	A	34651545	405366	13.379	0.157	29.765534	-96.169115                                                                                                                   
TX	4866512	02409298	Sebastian CDP	57	S	4320724	7446	1.668	0.003	26.345238	-97.796296                                                                                                                    
TX	4866536	02586987	Seco Mines CDP	57	S	1452143	45597	0.561	0.018	28.7505	-100.50153                                                                                                                    
TX	4866644	02411860	Seguin city	25	A	96148244	511607	37.123	0.198	29.590253	-97.966213                                                                                                                  
TX	4866704	02411864	Selma city	25	A	13082800	11428	5.051	0.004	29.586474	-98.315286                                                                                                                     
TX	4866764	02411866	Seminole city	25	A	9488014	0	3.663	0.	32.721521	-102.650468                                                                                                                         
TX	4866806	02409308	Serenada CDP	57	S	6686821	14325	2.582	0.006	30.711353	-97.693997                                                                                                                    
TX	4866848	02409309	Seth Ward CDP	57	S	5807428	0	2.242	0.	34.216344	-101.694463                                                                                                                         
TX	4866884	02411869	Seven Oaks city	25	A	3622786	0	1.399	0.	30.851846	-94.857877                                                                                                                        
TX	4866908	02411870	Seven Points city	25	A	7123517	30303	2.75	0.012	32.338659	-96.23442                                                                                                                 
TX	4866968	02411871	Seymour city	25	A	7572270	13596	2.924	0.005	33.59522	-99.258495                                                                                                                     
TX	4867010	02586988	Shadybrook CDP	57	S	19985201	4000847	7.716	1.545	32.112358	-95.429207                                                                                                               
TX	4867082	02408719	Shady Hollow CDP	57	S	5608768	0	2.166	0.	30.164532	-97.863083                                                                                                                       
TX	4867100	02413275	Shady Shores town	43	A	7535607	23643	2.91	0.009	33.162127	-97.03499                                                                                                                 
TX	4867136	02411874	Shallowater city	25	A	3731548	3398	1.441	0.001	33.690077	-101.989265                                                                                                                
TX	4867160	02411875	Shamrock city	25	A	5300471	0	2.047	0.	35.215401	-100.246085                                                                                                                         
TX	4867268	02411878	Shavano Park city	25	A	8624952	12511	3.33	0.005	29.584448	-98.556179                                                                                                                
TX	4867376	02408724	Sheldon CDP	57	S	6484028	5378	2.503	0.002	29.859771	-95.133161                                                                                                                      
TX	4867400	02411883	Shenandoah city	25	A	5056460	0	1.952	0.	30.184014	-95.455667                                                                                                                        
TX	4867424	02411884	Shepherd city	25	A	15788025	59270	6.096	0.023	30.485494	-95.011844                                                                                                                  
TX	4867496	02411888	Sherman city	25	A	113836333	214101	43.952	0.083	33.605727	-96.6219                                                                                                                  
TX	4867554	02586990	Sherwood Shores CDP	57	S	7377548	3068228	2.848	1.185	33.847679	-96.814857                                                                                                           
TX	4867640	02411891	Shiner city	25	A	6404301	18555	2.473	0.007	29.433658	-97.173611                                                                                                                     
TX	4867688	02411892	Shoreacres city	25	A	2354370	144617	0.909	0.056	29.62099	-95.018987                                                                                                                 
